ID,Sex,Session,Fluid,Concentration,Material,Intake,Preference,Total Fluid,Location,TotalFluid
H6,Male,2,Alcohol,0.06,Metal,2.2739509974044987,41.91778915519724,2.7719330524486456,NIH,2.7719330524486456
H7,Female,2,Alcohol,0.06,Metal,6.316442666181692,55.91726684533079,4.173969870570767,NIH,4.173969870570767
H8,Male,2,Alcohol,0.06,Metal,4.746279904374014,73.47494987517837,3.3553188243258245,NIH,3.3553188243258245
C1,Female,3,Alcohol,0.1,Plastic,13.754506249202338,89.64954570556418,3.284879970754294,NIH,3.284879970754294
C2,Male,3,Alcohol,0.1,Plastic,8.767015567244815,85.55666589,2.9079158373613887,NIH,2.9079158373613887
C3,Female,3,Alcohol,0.1,Plastic,15.039943142087566,91.71844948,3.864010723424996,NIH,3.864010723424996
C4,Male,3,Alcohol,0.1,Plastic,8.719852901312235,74.57797471,3.540237215159024,NIH,3.540237215159024
C5,Female,3,Alcohol,0.1,Plastic,8.555931725336832,56.42515630659221,3.419404118770056,NIH,3.419404118770056
C6,Male,3,Alcohol,0.1,Plastic,9.546984664,87.88897169183211,3.3853442463138226,NIH,3.3853442463138226
C7,Female,3,Alcohol,0.1,Plastic,0.8516529408180671,6.762861610210294,2.5526308948373213,NIH,2.5526308948373213
C8,Male,3,Alcohol,0.1,Plastic,11.965251888049233,92.89482646164147,3.377820382631301,NIH,3.377820382631301
H1,Female,3,Alcohol,0.1,Metal,10.468405161325267,56.481137238009104,4.296987286242331,NIH,4.296987286242331
H2,Male,3,Alcohol,0.1,Metal,15.299258967534797,89.91516432559531,4.957938990210813,NIH,4.957938990210813
H3,Female,3,Alcohol,0.1,Metal,15.98531099673308,71.97406590861131,4.924010723425002,NIH,4.924010723425002
H4,Male,3,Alcohol,0.1,Metal,10.55793643,78.94065130948013,3.846272797432878,NIH,3.846272797432878
H5,Female,3,Alcohol,0.1,Metal,8.137004924750183,50.88636967322249,4.011106462488327,NIH,4.011106462488327
H6,Male,3,Alcohol,0.1,Metal,8.313656321,71.41931984223342,3.5688443884804433,NIH,3.5688443884804433
H7,Female,3,Alcohol,0.1,Metal,15.527279163015793,88.89595627766461,3.8724631382265735,NIH,3.8724631382265735
H8,Male,3,Alcohol,0.1,Metal,10.361573799336027,84.99689360409602,3.7992132093098827,NIH,3.7992132093098827
C1,Female,4,Alcohol,0.2,Plastic,7.314392675784871,24.90901980516165,3.422514919011083,NIH,3.422514919011083
C2,Male,4,Alcohol,0.2,Plastic,3.5195433889645735,19.39810385613177,2.9651907887303683,NIH,2.9651907887303683
C3,Female,4,Alcohol,0.2,Plastic,10.206420603676085,37.75263438796131,3.3736367464743884,NIH,3.3736367464743884
C4,Male,4,Alcohol,0.2,Plastic,9.030326700518424,44.998073294175626,3.12716318,NIH,3.12716318
C5,Female,4,Alcohol,0.2,Plastic,13.005812679533147,46.49851394976555,3.401774669008516,NIH,3.401774669008516
C6,Male,4,Alcohol,0.2,Plastic,5.133718969727969,27.32566757,3.0822436549266126,NIH,3.0822436549266126
C7,Female,4,Alcohol,0.2,Plastic,7.326071920876123,29.970485066306697,2.5703448063353163,NIH,2.5703448063353163
C8,Male,4,Alcohol,0.2,Plastic,3.881592391745532,16.013262700725587,3.9768183732371933,NIH,3.9768183732371933
H1,Female,4,Alcohol,0.2,Metal,28.883038548054074,68.30503278072368,5.142772317,NIH,5.142772317
H2,Male,4,Alcohol,0.2,Metal,14.77078468257615,52.155641334972955,4.431034419005952,NIH,4.431034419005952
H3,Female,4,Alcohol,0.2,Metal,30.413700440019873,77.16988609341092,4.818197598578456,NIH,4.818197598578456
H4,Male,4,Alcohol,0.2,Metal,16.76470153012243,60.59173741766013,4.136188436610901,NIH,4.136188436610901
H5,Female,4,Alcohol,0.2,Metal,18.721711909103984,60.69058110875898,4.044832116188543,NIH,4.044832116188543
H6,Male,4,Alcohol,0.2,Metal,15.561206959675982,84.16283825946435,2.9045608521040647,NIH,2.9045608521040647
H7,Female,4,Alcohol,0.2,Metal,23.835221534047513,65.89529648927251,4.192970038722663,NIH,4.192970038722663
H8,Male,4,Alcohol,0.2,Metal,14.752506238785948,68.61442717112395,3.4729332675972397,NIH,3.4729332675972397
C1,Female,5,Alcohol,0.2,Plastic,15.069411416376065,46.264686603012976,3.7963861584445198,NIH,3.7963861584445198
C2,Male,5,Alcohol,0.2,Plastic,2.513959563546124,16.043519651406417,2.560850563378836,NIH,2.560850563378836
C3,Female,5,Alcohol,0.2,Plastic,16.297349028450522,62.50434452546227,3.2537102887252347,NIH,3.2537102887252347
C4,Male,5,Alcohol,0.2,Plastic,10.467269197389237,54.71434923431784,2.981076736613976,NIH,2.981076736613976
C5,Female,5,Alcohol,0.2,Plastic,8.360879579699878,27.806820456921688,3.656855144362616,NIH,3.656855144362616
C6,Male,5,Alcohol,0.2,Plastic,4.5702620096358775,25.418730052390448,2.9498022781663753,NIH,2.9498022781663753
C7,Female,5,Alcohol,0.2,Plastic,4.884047947250748,16.336977208969248,3.1435632042235446,NIH,3.1435632042235446
C8,Male,5,Alcohol,0.2,Plastic,4.5076556807367565,22.618871357902286,3.2695310140819034,NIH,3.2695310140819034
H1,Female,5,Alcohol,0.2,Metal,26.940611979032948,60.04789299472999,5.456533242946211,NIH,5.456533242946211
H2,Male,5,Alcohol,0.2,Metal,12.99829052066699,49.31748707676341,4.123710288725233,NIH,4.123710288725233
H3,Female,5,Alcohol,0.2,Metal,29.15346423394174,62.04820369,5.7441286373113964,NIH,5.7441286373113964
H4,Male,5,Alcohol,0.2,Metal,15.32183787384135,63.43988464978961,3.6104918908370025,NIH,3.6104918908370025
H5,Female,5,Alcohol,0.2,Metal,20.99338406543877,68.94331203053589,3.9926987746381966,NIH,3.9926987746381966
H6,Male,5,Alcohol,0.2,Metal,10.199782713064964,47.373356896112256,3.382317197,NIH,3.382317197
H7,Female,5,Alcohol,0.2,Metal,24.45546893456176,60.511168092461034,4.684868887313961,NIH,4.684868887313961
H8,Male,5,Alcohol,0.2,Metal,11.95461712453341,48.50537022820347,3.9809976478805242,NIH,3.9809976478805242
C1,Female,6,Alcohol,0.2,Plastic,10.222524703506567,38.416232527361885,3.101466633798622,NIH,3.101466633798622
C2,Male,6,Alcohol,0.2,Plastic,1.5083757381276743,9.008200502725156,2.7365103380273013,NIH,2.7365103380273013
C3,Female,6,Alcohol,0.2,Plastic,13.334194659641327,57.102824739270076,2.913944781684281,NIH,2.913944781684281
C4,Male,6,Alcohol,0.2,Plastic,6.986968104050749,39.18137394366925,2.778753992953913,NIH,2.778753992953913
C5,Female,6,Alcohol,0.2,Plastic,9.627679516018041,32.60787672437747,3.5909241056296803,NIH,3.5909241056296803
C6,Male,6,Alcohol,0.2,Plastic,1.6277645513771595,9.000610311,2.9670528661962416,NIH,2.9670528661962416
C7,Female,6,Alcohol,0.2,Plastic,5.665495618810868,21.00808680947143,2.835733316899311,NIH,2.835733316899311
C8,Male,6,Alcohol,0.2,Plastic,3.631167076149051,19.306053236574947,3.085733316899311,NIH,3.085733316899311
H1,Female,6,Alcohol,0.2,Metal,18.157465753893657,52.47511703171449,4.2083217781612365,NIH,4.2083217781612365
H2,Male,6,Alcohol,0.2,Metal,13.260882248357275,58.86285988118747,3.524795345063116,NIH,3.524795345063116
H3,Female,6,Alcohol,0.2,Metal,30.917794922451183,70.91837073908029,5.329825183085283,NIH,5.329825183085283
H4,Male,6,Alcohol,0.2,Metal,8.451058558217415,36.16470961193588,3.4933654823899114,NIH,3.4933654823899114
H5,Female,6,Alcohol,0.2,Metal,16.606706798033635,63.345539700113726,3.4375079859078284,NIH,3.4375079859078284
H6,Male,6,Alcohol,0.2,Metal,13.33817739400805,47.13562687437772,4.4453378732320665,NIH,4.4453378732320665
H7,Female,6,Alcohol,0.2,Metal,17.898567843411186,50.66908527100369,4.094795345063116,NIH,4.094795345063116
H8,Male,6,Alcohol,0.2,Metal,10.237730622605762,48.584962953965736,3.4036735175998105,NIH,3.4036735175998105
