ID,Sex,Fluid,Concentration,Start,Stop,Percent,Intake,mls,mlskg,Total Fluid,Preference
6D,Male,Sucrose,0.03,16.35,14.73,3,3.0548543929657113,1.6041033359408272,64.16413343763308,2.964103335940827,54.117659006367724
7D,Male,Sucrose,0.03,17.67,15.19,3,4.871424186313636,2.4556643661316375,102.31934858881823,3.475664366131637,70.65309268813995
1C,Female,Water,,48.82,46.1,,129.52380952380946,2.719999999999999,,,
3C,Female,Water,,47.63,44.07,,178.0000000000001,3.5600000000000023,,,
4C,Female,Water,,55.6,51.92,,183.99999999999997,3.6799999999999997,,,
7C,Male,Water,,50.58,49.55,,41.200000000000045,1.0300000000000011,,,
1D,Female,Water,,18.38,17.14,,59.04761904761897,1.2399999999999984,,,
2D,Female,Water,,15.05,14,,47.72727272727276,1.0500000000000007,,,
3D,Female,Water,,15.77,15.71,,3.5294117647058068,0.06,,,
4D,Female,Water,,13.69,11.12,,122.3809523809524,2.5700000000000003,,,
5D,Male,Water,,14.66,14.13,,22.083333333333307,0.5299999999999994,,,
6D,Male,Water,,16.54,15.18,,54.39999999999998,1.3599999999999994,,,
7D,Male,Water,,15.2,14.18,,42.49999999999998,1.0199999999999996,,,
