ID,Sex,Animal Weight,Material,Session,Cohort,Fluid,Concentration,Start,Stop,Leak,Diff,Intake,mls,mlskg
6B,M,24,Plastic,2,1,Water,,15.63,15.15,,0.4800000000000004,20.000000000000018,0.4800000000000004,
7B,M,23,Plastic,2,1,Water,,14.22,11.09,,3.130000000000001,136.08695652173915,3.130000000000001,
1A,F,20,Metal,3,1,Quinine,30,54.87,53.5,,1.3699999999999974,70.72145173883153,,68.49933336448755
2A,F,19,Metal,3,1,Quinine,30,54.81,53.98,,0.8300000000000054,45.10088739395365,,43.683785395716605
3A,F,18,Metal,3,1,Quinine,30,53.21,52.21,,1,57.35721957731685,,55.555014894150595
4A,F,18,Metal,3,1,Quinine,30,53.25,52.21,,1.0399999999999991,59.65150836040947,,57.77721548991658
5A,M,26,Metal,3,1,Quinine,30,55.16,54.53,,0.6299999999999955,25.016571923337242,,24.230533419217814
6A,M,24,Metal,3,1,Quinine,30,54.42,52.9,,1.5200000000000031,65.38723031814133,,63.33271697933181
7A,M,25,Metal,3,1,Quinine,30,51.5,50.1,,1.3999999999999986,57.81607733393532,,55.999455013303745
1A,F,20,Metal,3,1,Water,,54.61,51.37,,3.240000000000002,162.00000000000009,3.240000000000002,
2A,F,19,Metal,3,1,Water,,51.94,48.61,,3.3299999999999983,175.26315789473676,3.3299999999999983,
3A,F,18,Metal,3,1,Water,,50.54,46.87,,3.6700000000000017,203.88888888888897,3.6700000000000017,
4A,F,18,Metal,3,1,Water,,51.94,48.56,,3.3799999999999955,187.77777777777752,3.3799999999999955,
5A,M,26,Metal,3,1,Water,,55.57,52.33,,3.240000000000002,124.61538461538468,3.240000000000002,
6A,M,24,Metal,3,1,Water,,51.62,49.38,,2.239999999999995,93.33333333333312,2.239999999999995,
7A,M,25,Metal,3,1,Water,,50.81,47.53,,3.280000000000001,131.20000000000005,3.280000000000001,
2B,F,18,Plastic,3,1,Quinine,30,15.22,13.93,,1.290000000000001,73.99081325473878,,71.66596921345432
4B,F,19,Plastic,3,1,Quinine,30,15.28,14.3,,0.9799999999999986,53.25165017599304,,51.57844540699028
5B,M,24,Plastic,3,1,Quinine,30,14.92,13.97,,0.9499999999999993,40.86701894883822,,39.58294811208227
6B,M,24,Plastic,3,1,Quinine,30,15.22,14.44,,0.7800000000000011,33.55397345,,32.49968371307815
1B,F,19,Plastic,3,1,Water,,15.22,12.06,,3.16,166.31578947368422,3.16,
2B,F,18,Plastic,3,1,Water,,14.64,11.5,,3.1400000000000006,174.44444444444446,3.1400000000000006,
4B,F,19,Plastic,3,1,Water,,15.08,12.23,,2.8499999999999996,149.99999999999997,2.8499999999999996,
6B,M,24,Plastic,3,1,Water,,15.15,12.96,,2.1899999999999995,91.24999999999997,2.1899999999999995,
7B,M,23,Plastic,3,1,Water,,15.89,13.08,,2.8100000000000005,122.17391304347828,2.8100000000000005,
1A,F,20,Metal,4,1,Quinine,100,51.4,50.18,,1.2199999999999989,60.99999999999994,,59.08333656
2A,F,19,Metal,4,1,Quinine,100,53.6,53.25,,0.3500000000000014,18.421052631579023,,17.842250040272578
3A,F,18,Metal,4,1,Quinine,100,51.83,51.2,,0.6299999999999955,34.999999999999744,,33.90027507651752
4A,F,18,Metal,4,1,Quinine,100,51.59,50.62,,0.97,53.88888888888921,,52.195661625749885
5A,M,26,Metal,4,1,Quinine,100,55.42,53.98,,1.4400000000000048,55.384615384615564,,53.64439132987444
6A,M,24,Metal,4,1,Quinine,100,54,53.17,,0.8299999999999983,34.583333333333265,,33.49670037322581
7A,M,25,Metal,4,1,Quinine,100,52.6,52,,0.6000000000000014,24.000000000000057,,23.245902909612237
1A,F,20,Metal,4,1,Water,,51.35,47.02,,4.329999999999998,216.49999999999991,4.329999999999998,
2A,F,19,Metal,4,1,Water,,48.61,44.33,,4.280000000000001,225.2631578947369,4.280000000000001,
3A,F,18,Metal,4,1,Water,,46.87,42.34,,4.529999999999994,251.66666666666632,4.529999999999994,
4A,F,18,Metal,4,1,Water,,48.56,43.22,,5.340000000000003,296.6666666666668,5.340000000000003,
6A,M,24,Metal,4,1,Water,,49.37,44.65,,4.719999999999999,196.66666666666663,4.719999999999999,
7A,M,25,Metal,4,1,Water,,47.51,43.69,,3.8200000000000003,152.8,3.8200000000000003,
1B,F,19,Plastic,4,1,Quinine,100,19.96,19.61,,0.3500000000000014,18.421052631579023,,17.842250040272578
2B,F,18,Plastic,4,1,Quinine,100,18.35,16.96,,1.3900000000000006,77.22222222222224,,74.79584501009477
3B,F,17,Plastic,4,1,Quinine,100,19.53,19,,0.5300000000000011,31.176470588235357,,30.196883681604117
4B,F,19,Plastic,4,1,Quinine,100,18.61,18.1,,0.51,26.84210526315779,,25.99870720153984
5B,M,24,Plastic,4,1,Quinine,100,18.44,18.24,,0.20000000000000284,8.333333333333451,,8.071494065837678
6B,M,24,Plastic,4,1,Quinine,100,19.15,18.72,,0.4299999999999997,17.916666666666654,,17.353712241550745
1B,F,19,Plastic,4,1,Water,,18.59,15.33,,3.26,171.57894736842104,3.26,
2B,F,18,Plastic,4,1,Water,,19.02,16.18,,2.84,157.77777777777774,2.84,
4B,F,19,Plastic,4,1,Water,,19.3,15.11,,4.190000000000001,220.52631578947376,4.190000000000001,
6B,M,24,Plastic,4,1,Water,,18.34,15.49,,2.8499999999999996,118.74999999999999,2.8499999999999996,
